INFO 2019-04-22 09:08:17,647 basehttp 124 "GET / HTTP/1.1" 200 1716
INFO 2019-04-22 09:08:42,950 basehttp 124 "GET /static/index.html HTTP/1.1" 304 0
INFO 2019-04-22 09:08:42,984 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-22 09:08:43,010 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-22 09:08:43,019 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-22 09:08:43,029 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-22 09:08:43,030 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-22 09:08:43,050 basehttp 124 "GET /static/js/jquery-1.12.4.min.js HTTP/1.1" 200 97163
INFO 2019-04-22 09:08:43,056 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-22 09:08:43,076 basehttp 124 "GET /static/images/goods/goods001.jpg HTTP/1.1" 200 5391
INFO 2019-04-22 09:08:43,090 basehttp 124 "GET /static/images/goods/goods002.jpg HTTP/1.1" 200 5377
INFO 2019-04-22 09:08:43,199 basehttp 124 "GET /static/js/slide.js HTTP/1.1" 200 1822
INFO 2019-04-22 09:08:43,206 basehttp 124 "GET /static/js/common.js HTTP/1.1" 200 891
INFO 2019-04-22 09:08:43,226 basehttp 124 "GET /static/js/index.js HTTP/1.1" 200 1418
INFO 2019-04-22 09:08:43,562 basehttp 124 "GET /static/images/icons.png HTTP/1.1" 200 7740
INFO 2019-04-22 09:08:54,708 basehttp 124 "GET /static/register.html HTTP/1.1" 200 4670
WARNING 2019-04-22 09:08:54,761 basehttp 124 "GET /static/%7B%7B%20static( HTTP/1.1" 404 1649
WARNING 2019-04-22 09:08:54,772 basehttp 124 "GET /static/%7B%7B%20static( HTTP/1.1" 404 1649
WARNING 2019-04-22 09:08:54,819 basehttp 124 "GET /static/%7B%7B%20static( HTTP/1.1" 404 1649
WARNING 2019-04-22 09:08:54,972 basehttp 124 "GET /static/%7B%7B%20static( HTTP/1.1" 404 1649
INFO 2019-04-22 09:09:20,299 basehttp 124 "GET /static/images/adv01.jpg HTTP/1.1" 200 39831
INFO 2019-04-22 09:09:28,478 basehttp 124 "GET / HTTP/1.1" 200 1716
WARNING 2019-04-22 09:31:05,708 base 152 Not Found: /
WARNING 2019-04-22 09:31:05,715 basehttp 124 "GET / HTTP/1.1" 404 2075
INFO 2019-04-22 09:31:12,380 basehttp 124 "GET /register/ HTTP/1.1" 200 4535
INFO 2019-04-22 09:31:12,396 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
INFO 2019-04-22 09:31:12,725 basehttp 124 "GET /static/images/interval_line.png HTTP/1.1" 304 0
INFO 2019-04-22 09:31:12,762 basehttp 124 "GET /static/images/register_banner.png HTTP/1.1" 304 0
INFO 2019-04-22 09:31:12,774 basehttp 124 "GET /static/images/icons02.png HTTP/1.1" 304 0
INFO 2019-04-23 07:06:07,653 basehttp 124 "GET /register/ HTTP/1.1" 200 4535
INFO 2019-04-23 07:06:07,709 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 07:06:07,722 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
WARNING 2019-04-23 07:06:08,019 base 152 Not Found: /image_codes/bdf0f65b-2d21-4671-aa69-d34ceb2099d1/
WARNING 2019-04-23 07:06:08,023 basehttp 124 "GET /image_codes/bdf0f65b-2d21-4671-aa69-d34ceb2099d1/ HTTP/1.1" 404 2240
INFO 2019-04-23 07:20:05,741 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
INFO 2019-04-23 07:20:05,865 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-23 07:20:05,878 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 07:20:05,884 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 07:20:05,885 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 07:20:05,886 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 07:20:05,902 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-04-23 07:20:05,908 basehttp 124 "GET /static/js/register.js HTTP/1.1" 304 0
WARNING 2019-04-23 07:20:06,289 base 152 Not Found: /image_codes/7a3e8f1d-1f15-471d-8dbd-c62cbe2b0ace/
WARNING 2019-04-23 07:20:06,300 basehttp 124 "GET /image_codes/7a3e8f1d-1f15-471d-8dbd-c62cbe2b0ace/ HTTP/1.1" 404 2240
WARNING 2019-04-23 08:33:47,034 base 152 Not Found: /usernames/heima123/count/
WARNING 2019-04-23 08:33:47,041 basehttp 124 "GET /usernames/heima123/count/ HTTP/1.1" 404 2168
WARNING 2019-04-23 08:34:50,370 base 152 Not Found: /mobiles/13123456789/count/
WARNING 2019-04-23 08:34:50,379 basehttp 124 "GET /mobiles/13123456789/count/ HTTP/1.1" 404 2171
WARNING 2019-04-23 08:35:31,990 base 152 Not Found: /mobiles/13123456789/count/
WARNING 2019-04-23 08:35:32,017 basehttp 124 "GET /mobiles/13123456789/count/ HTTP/1.1" 404 2171
WARNING 2019-04-23 08:35:32,001 base 152 Not Found: /usernames/heima123/count/
WARNING 2019-04-23 08:35:32,024 basehttp 124 "GET /usernames/heima123/count/ HTTP/1.1" 404 2168
INFO 2019-04-23 08:35:32,316 basehttp 124 "POST /register/ HTTP/1.1" 302 0
WARNING 2019-04-23 08:35:32,329 base 152 Not Found: /
WARNING 2019-04-23 08:35:32,340 basehttp 124 "GET / HTTP/1.1" 404 2075
INFO 2019-04-23 08:41:45,544 basehttp 124 "GET /register/ HTTP/1.1" 200 4675
INFO 2019-04-23 08:41:45,582 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-04-23 08:41:45,589 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-04-23 08:41:45,602 basehttp 124 "GET /static/js/host.js HTTP/1.1" 304 0
INFO 2019-04-23 08:41:45,611 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-04-23 08:41:45,624 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-04-23 08:41:45,647 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
